tavg,tmin,tmax,prcp,wspd,pres,PC1,PC2
8.1,1.4,15.6,0.0,13.4,1008.9,-0.40189137283216814,0.45004093445013127
9.4,2.7,17.5,0.0,24.0,1000.8,0.4642069552147589,2.555606517725315
4.8,0.8,9.3,1.3,17.2,1001.0,-0.6063389567603656,1.9742877911798933
2.1,-1.7,7.1,0.0,13.7,1010.5,-1.4180657988008476,0.5720543176117125
1.9,-2.8,7.0,0.0,12.8,1015.7,-1.697984464614831,-0.0034129440576456433
5.5,-0.6,12.6,0.0,9.7,1009.3,-0.9630567287929305,0.009212129916521627
1.6,-1.3,4.6,1.3,15.1,1010.2,-1.5286445027323665,0.9881853333079014
-0.8,-2.4,2.1,1.5,13.0,1021.5,-2.3025963047376306,-0.21431511808320206
2.0,-5.4,10.1,0.0,6.7,1022.4,-2.102396691297936,-1.4507599530240378
6.5,-1.8,16.2,0.0,9.0,1016.7,-1.0497377698764774,-0.8046308434626384
7.6,1.6,14.4,0.0,9.4,1012.2,-0.7217175546286849,-0.36652688686702184
8.1,2.8,13.8,0.0,12.7,1009.7,-0.46309024243113295,0.2950074822573135
4.8,2.0,7.2,11.8,14.4,1007.1,-1.1801408152477137,2.372061771544646
1.1,-1.4,3.1,27.7,21.3,1018.6,-2.320161855844066,4.384853079659362
2.2,-2.6,6.5,1.6,14.3,1024.2,-1.9574428671448036,-0.3668528428535689
3.8,-2.6,9.2,0.0,8.5,1020.3,-1.7534739274311688,-1.0551943550522933
4.9,1.4,9.2,0.0,8.0,1022.0,-1.5254535334424069,-1.3306001691955684
6.1,-1.1,14.1,0.0,8.0,1023.2,-1.385343070259837,-1.498192833899209
9.1,2.8,16.0,0.0,8.4,1016.2,-0.6432608691876704,-0.9157201364623193
8.4,2.3,15.7,0.0,9.3,1013.9,-0.6243346262539944,-0.5689745628347272
10.1,2.3,18.5,0.0,11.3,1011.6,-0.23865993488098122,-0.1519765992076645
8.2,3.8,13.8,0.0,13.2,1016.3,-0.5949553579844523,-0.24465283835110127
8.4,1.6,15.3,0.2,15.6,1006.8,-0.25225399192152514,0.9602744680240526
5.5,-0.6,10.0,10.0,19.1,992.6,-0.47937267876529865,4.068925616960368
-1.9,-4.4,0.7,1.5,15.2,1005.2,-1.9573510575451751,1.6075927552626574
-0.2,-5.0,5.4,0.0,9.7,1010.5,-1.9675588924998462,0.11794724171107734
3.0,-3.0,9.4,0.0,14.1,1016.0,-1.4868812363854467,0.09934094620781962
7.1,-1.2,16.0,0.0,12.9,1011.7,-0.6990188983738546,0.16276454635396312
6.9,3.9,9.7,3.1,11.2,1007.7,-0.73989191981899,0.7214294732902081
8.4,3.2,16.1,0.0,11.6,1007.3,-0.2599959397424637,0.3218480558954303
8.7,3.4,14.8,3.1,15.4,1000.6,-0.028393895411207043,1.8390514600528476
4.7,1.6,7.8,5.8,15.1,1007.4,-1.025057443066277,1.6885850475426398
6.6,0.5,13.9,0.0,14.4,1018.8,-0.9173333918464428,-0.2567240243504875
11.4,4.1,19.6,0.0,12.7,1016.3,-0.10523179337545716,-0.4369861661274656
12.9,4.3,22.3,0.0,13.3,1010.3,0.348638217102254,0.1265704326491316
14.8,7.9,22.5,0.0,24.5,1001.6,1.334896186826251,2.3611324104917255
6.3,-0.7,10.3,0.5,36.0,997.5,0.2006803010033269,4.7121757495475265
5.0,-1.4,11.5,0.0,32.6,1007.0,-0.2604759723221783,3.3384726915005944
5.9,0.5,12.5,0.0,11.4,1013.0,-0.9434289064696465,-0.10981778058807579
7.3,0.3,15.2,0.0,9.3,1015.7,-0.8901338064716029,-0.6904846587238086
8.3,4.0,14.0,0.0,14.6,1017.6,-0.5623013390535734,-0.1791245817696326
8.5,2.1,16.4,0.0,9.1,1018.8,-0.7586552760277292,-1.047420101427824
13.4,3.8,22.7,0.0,11.9,1014.5,0.18628140237849466,-0.44782633052525256
16.3,9.2,23.7,0.0,13.0,1010.9,0.8773506465694134,-0.07902647998426439
16.5,8.4,24.8,0.0,14.6,1009.6,0.9947023348564823,0.24426434019731444
13.6,6.7,21.1,0.0,20.7,999.8,1.0532323945707434,2.0574109285243996
11.8,5.5,18.7,2.4,26.8,1004.7,0.74170043495413,2.806147856633793
13.5,7.9,20.6,0.0,20.6,1009.3,0.781676044907494,1.182589576430377
6.2,2.7,8.6,0.1,17.7,1019.2,-0.9948381137377915,0.22416680972099873
4.4,1.9,9.1,5.5,16.6,1020.4,-1.3193674371071011,0.6619998657013461
3.1,0.0,6.3,7.0,17.0,1023.9,-1.7884201412852991,0.6628054987914902
7.8,-0.2,16.5,0.0,13.5,1022.1,-0.8897997860839653,-0.7205357419756427
15.1,7.7,22.9,0.0,19.1,1008.5,0.9584464488417904,1.0022755267113426
12.2,9.5,15.9,0.0,15.0,1013.8,0.2224301885701614,0.08746767571696046
14.3,6.3,22.8,0.0,13.4,1012.5,0.5055548093901714,-0.10283603984342042
15.3,10.1,23.0,0.0,14.6,1002.9,1.1485457876684106,0.8712561021032649
12.2,8.7,17.7,7.6,16.3,998.9,0.618686629430823,2.5363778065662954
6.5,3.7,8.7,35.0,15.7,1007.2,-1.4016756378641375,5.369478830584726
8.3,3.5,13.3,1.9,10.1,1010.7,-0.5995510331601691,0.08814610617094815
12.2,5.7,18.5,0.0,12.4,1009.9,0.17414497102407725,0.09011749419253422
14.1,7.9,21.5,0.0,14.8,1006.4,0.7641484334755028,0.6411889308971606
11.7,7.2,17.0,1.8,15.2,1006.6,0.3134176536929824,1.0021618594550183
10.2,5.3,17.2,0.3,16.9,1010.6,0.08785311946400756,0.7181277447763272
11.6,5.9,19.0,0.9,21.2,1009.1,0.4759365604724049,1.4599902985714197
9.2,2.8,15.7,0.0,15.7,1015.4,-0.38455018911643535,0.14519709114545098
14.7,6.2,23.0,0.0,23.4,1002.6,1.185962167714462,2.134007570988123
10.7,5.7,13.2,0.4,37.2,997.1,1.0389836775231933,4.737723416837062
9.1,4.2,15.8,0.0,31.2,1001.3,0.6696864285856365,3.495117221337685
7.5,2.9,12.4,0.0,19.4,1007.2,-0.26143996892295246,1.451439917115537
6.5,4.1,9.1,1.4,11.6,1019.0,-1.0951703591944806,-0.44472833665271805
9.1,5.3,13.1,0.9,9.0,1022.3,-0.8463447524354217,-1.2568125563732633
10.6,5.5,15.8,0.4,10.3,1014.2,-0.2896688065463376,-0.47154928322569334
11.8,8.1,16.3,11.2,12.7,1009.6,-0.0628559567778155,1.5646682923314994
14.5,8.0,21.2,0.0,8.9,1011.0,0.43199161711616135,-0.5716960210844333
16.4,10.8,23.9,0.1,14.8,1007.6,1.1526253232301256,0.4534258236741243
12.7,10.0,16.6,0.6,11.1,1011.3,0.2546208705638195,-0.15992291604263795
15.4,8.2,22.7,0.0,8.6,1009.8,0.6031499084956673,-0.5383134281265602
19.0,11.2,27.2,0.0,16.8,1004.1,1.680872481313043,0.9443584489351269
17.9,12.4,24.0,1.0,16.9,1009.1,1.3387907814070141,0.6781684940652986
18.8,12.9,25.9,0.1,17.0,1006.4,1.631504823184931,0.779811000056175
16.0,11.6,21.6,0.4,15.1,1005.8,1.1170871793558401,0.723575778507951
10.9,6.8,14.4,7.2,15.1,1008.6,-0.08637214536301734,1.5323137102833377
